Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Language of Original Document,Document Type,Source,EID
"Folgieri R., Zichella M.","A BCI-based application in music: Conscious playing of single notes by brainwaves",2012,"Computers in Entertainment","10","3", 1,"","",,4,10.1145/2381876.2381877,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871321645&doi=10.1145%2f2381876.2381877&partnerID=40&md5=779618f5a73843a6080e4a6f4cba2284","The relationship between the brain and music represents a fundamental field for investigation in HCI (human-computer interaction), for example, in games, virtual reality, and digital entertainment, due to the impact of music on human experience, emotions, and cognitive processes. For a low cost and the possibility of real-time analysis, the brain computer Interface (BCI) offers the potential for using music in HCI-related applications, as in games and entertainment. In many studies related to music and the brain, BCI devices have been used both for psychological aims and for neuro-feedback-based therapy. In our work we focus on the possibility of enabling users to consciously play a specific musical note through low-cost BCI devices by reading subjects' brainwaves under a combined paradigm of audio, gesture, and visual stimuli. The results encourage further developments and future research. © 2012 ACM.",,"English",Article,Scopus,2-s2.0-84871321645
"Mahmood T., Ahmed S.O., Nayyer S.H., Swaleh M.H.","A-Eye: Automating the role of the third umpire in the game of cricket",2012,"Expert Systems with Applications","39","15",,"12280","12289",,1,10.1016/j.eswa.2012.04.044,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863101668&doi=10.1016%2fj.eswa.2012.04.044&partnerID=40&md5=435456b53475edacde05a027d79b5ef2","Cricket is a sport that involves two teams, say Team A and Team B, and two field umpires. Initially, Team A bats to score some runs, while Team B balls. Then, Team A balls and Team B bats to overcome the score of Team A. If this happens, then Team B wins. Otherwise, Team A wins. The balling team can dismiss a batsman from scoring through a Run-Out, i.e.; the batsman fails to enter an area before three stumps are dislodged in that area. In this case, a third umpire makes the 'Run-Out/Not-Out' decision through video technology. This process can consume around one minute which disrupts the pace of the game. In this paper, we propose and validate a novel technology called A-Eye, which automates the role of the third umpire. By applying A-Eye to a set of autonomously-filmed Run-Out videos, we show that it is efficient as compared to the third umpire, and almost as accurate. Also, it can be used to estimate a rating for the field umpires. These results have been recognized internationally, and have convinced our local cricket council to employ A-Eye within a professional cricket tournament. © 2012 Elsevier Ltd. All rights reserved.",,"English",Article,Scopus,2-s2.0-84863101668
"Ho S.S., Gonzalez R.D., Abelson J.L., Liberzon I.","Neurocircuits underlying cognition-emotion interaction in a social decision making context",2012,"NeuroImage","63","2",,"843","857",,16,10.1016/j.neuroimage.2012.07.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865567759&doi=10.1016%2fj.neuroimage.2012.07.017&partnerID=40&md5=74664b094fea9d5ddac6a8becb6c54eb","Decision making (DM) in the context of others often entails complex cognition-emotion interaction. While the literature suggests that the ventromedial prefrontal cortex (vmPFC), striatum, and amygdala are involved in valuation-based DM and hippocampus in context processing, how these neural mechanisms subserve the integration of cognitive and emotional values in a social context remains unclear. In this study we addressed this gap by systematically manipulating cognition-emotion interaction in a social DM context, when the participants played a card game with a hypothetical opponent in a behavioral study (n = 73) and a functional magnetic-resonance-imaging study (n = 16). We observed that payoff-based behavioral choices were influenced by emotional values carried by face pictures and identified neurocircuits involved in cognitive valuation, emotional valuation, and concurrent cognition-emotion value integration. Specifically, while the vmPFC, amygdala, and ventral striatum were all involved in both cognitive and emotional domains of valuation, these regions played dissociable roles in social DM. The payoff-dependent responses in vmPFC and amygdala, but not ventral striatum, were moderated by the social context. Furthermore, the vmPFC, but not amygdala, not only encoded the opponent's gains as if self's losses, but also represented a ""final common currency"" during valuation-based decisions. The extent to which emotional input influenced choices was associated with the functional connectivity between the value-signaling amygdala and value integrating vmPFC, and also with the functional connectivity between the context-setting hippocampus and value-signaling amygdala and ventral striatum. These results identify brain pathways through which emotion shapes subjective values in a social DM context. © 2012 Elsevier Inc.",22813951,"English",Article,Scopus,2-s2.0-84865567759
"Singh Y., Sharma R., Talwar A.","Immediate and long-term effects of meditation on acute stress reactivity, cognitive functions, and intelligence",2012,"Alternative Therapies in Health and Medicine","18","6",,"46","53",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868708916&partnerID=40&md5=fe57962bb4c0b3c0665aabd4be83cac9","Context With the current globalization of the world's economy and demands for enhanced performance, stress is present universally. Life's stressful events and daily stresses cause both deleterious and cumulative effects on the human body. The practice of meditation might offer a way to relieve that stress. Objective The research team intended to study the effects of meditation on stress-induced changes in physiological parameters, cognitive functions, intelligence, and emotional quotients. Methods The research team conducted the study in two phases, with a month between them. Each participant served as his own control, and the first phase served as the control for the second phase. In phase 1, the research team studied the effects of a stressor (10 minutes playing a computer game) on participants' stress levels. In phase 2, the research team examined the effects of meditation on stress levels. Setting The research team conducted the study in a lab setting at the All India Institute of Medical Sciences (AIIMS), New Delhi, India. Participants The participants were 34 healthy, male volunteers who were students. Intervention To study the effects of long-term meditation on stress levels, intelligence, emotional quotients, and cognitive functions participants meditated daily for 1 month, between phases 1 and 2. To study the immediate effects of meditation on stress levels, participants meditated for 15 minutes after playing a computer game to induce stress. Outcome Measures The research team measured galvanic skin response (GSR), heart rate (HR), and salivary cortisol and administered tests for the intelligence and emotional quotients (IQ and EQ), acute and perceived stress (AS and PS), and cognitive functions (ie, the Sternberg memory test [short-term memory] and the Stroop test [cognitive flexibility]). Using a pre-post study design, the team performed this testing (1) prior to the start of the study (baseline); (2) in phase 1, after induced stress; (3) in part 1 of phase 2, after 1 month of daily meditation, and (4) in part 2 of phase 2, after induced stress, both before and after 15 minutes of meditation. Results Induced stress from the computer game resulted in a significant increase in physiological markers of stress such as GSR and HR. In the short term, meditation was associated with a physiological relaxation response (significant decrease in GSR) and an improvement in scores on the Stroop test of reaction times. In the long term, meditation brought significant improvements in IQ and scores for cognitive functions, whereas participants' stress levels (GSR and AS) decreased. EQ, salivary cortisol, and HR showed no significant changes. Conclusions The practice of meditation reduced psychological stress responses and improved cognitive functions, and the effects were pronounced with practice of meditation for a longer duration (1 month).",23251943,"English",Article,Scopus,2-s2.0-84868708916
"Zilioli S., Watson N.V.","The hidden dimensions of the competition effect: Basal cortisol and basal testosterone jointly predict changes in salivary testosterone after social victory in men",2012,"Psychoneuroendocrinology","37","11",,"1855","1865",,45,10.1016/j.psyneuen.2012.03.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866328436&doi=10.1016%2fj.psyneuen.2012.03.022&partnerID=40&md5=8771a74077a136e971b2fa9f375ee7c5","Dominance struggles appear to affect hormone concentrations in many mammalian species, such that higher concentrations of testosterone are seen in winners of competitions, compared to losers. This so-called, ""competition effect"" has received inconsistent empirical support, suggesting that additional psychological (e.g., mood), situational (i.e., nature of the competition) and physiological (e.g., cortisol) variables might intervene in modulating testosterone fluctuations after social contests. We investigated possible interactions between the hypothalamic-pituitary-gonadal (HPG) axis and the hypothalamic-pituitary-adrenal (HPA) stress axis in predicting transient changes in testosterone after social victory or defeat on a familiar competitive task. In particular, the present study examined the dual-hormone hypothesis - proposing that baseline cortisol potently modulates the competition effect (Mehta and Josephs, 2010) - in a sample of healthy young men engaged in head-to-head competition on a widely played commercial videogame, Tetris. We found a significant interaction between HPG and HPA axes status and the competition effect on testosterone in the randomly assigned videogame winners, such that winners with a pre-competition combination of high baseline testosterone and low baseline cortisol exhibited significantly greater post-competition testosterone concentrations. The randomly assigned videogame losers showed significantly decreased post-competition levels of testosterone. Possible biological and evolutionary mechanisms underlying this phenomenon are discussed. © 2012 Elsevier Ltd.",22520298,"English",Article,Scopus,2-s2.0-84866328436
"Feldman M.A., Owen F., Andrews A., Hamelin J., Barber R., Griffiths D.","Health self-advocacy training for persons with intellectual disabilities",2012,"Journal of Intellectual Disability Research","56","11",,"1110","1121",,8,10.1111/j.1365-2788.2012.01626.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868153947&doi=10.1111%2fj.1365-2788.2012.01626.x&partnerID=40&md5=4fe73209279766ade765459abbd72c9b","Background: People with intellectual disabilities (ID) have unequal access to health care. While systemic efforts are addressing health inequalities, there remains a need to demonstrate that persons with ID can increase their health self-advocacy skills. Method: A randomised control design with up to 6-month follow-up was used to evaluate the 3Rs (Rights, Respect and Responsibility) health self-advocacy training program for persons with ID (n=31). Training involved teaching participants to recognise and redress health rights violations in the context of respect and responsibility. Training materials included PowerPoint slides and interactive video scenarios illustrating health rights, respect and responsibility problem and non-problems. Two-hour training sessions were conducted twice a week in a group format where participants played a game and answered questions. Results: The health rights training group made significantly more correct responses on post training and follow-up tests than the control group. Training effects generalised to untrained scenarios and in situ health interviews. Conclusions: The results of this study suggest that persons with ID can learn complex skills related to health self-advocacy. More research is needed to improve in situ generalisation. © 2012 Blackwell Publishing Ltd.",23106754,"English",Article,Scopus,2-s2.0-84868153947
"Aue T., Nusbaum H.C., Cacioppo J.T.","Neural correlates of wishful thinking",2012,"Social Cognitive and Affective Neuroscience","7","8", nsr081,"991","1000",,6,10.1093/scan/nsr081,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870174434&doi=10.1093%2fscan%2fnsr081&partnerID=40&md5=64803e1bd0312d35aa026c2674fa6c57","Wishful thinking (WT) implies the overestimation of the likelihood of desirable events. It occurs for outcomes of personal interest, but also for events of interest to others we like. We investigated whether WT is grounded on low-level selective attention or on higher level cognitive processes including differential weighting of evidence or response formation. Participants in our MRI study predicted the likelihood that their favorite or least favorite team would win a football game. Consistent with expectations, favorite team trials were characterized by higher winning odds. Our data demonstrated activity in a cluster comprising parts of the left inferior occipital and fusiform gyri to distinguish between favorite and least favorite team trials. More importantly, functional connectivities of this cluster with the human reward system were specifically involved in the type of WT investigated in our study, thus supporting the idea of an attention bias generating WT. Prefrontal cortex activity also distinguished between the two teams. However, activity in this region and its functional connectivities with the human reward system were altogether unrelated to the degree of WT reflected in the participants' behavior and may rather be related to social identification, ensuring the affective context necessary for WT to arise. © The Author (2011). Published by Oxford University Press.",22198967,"English",Article,Scopus,2-s2.0-84870174434
"Wang H., Song Q., Zhang L., Liu Y.","Design on the control system of a gait rehabilitation training robot based on Brain-Computer Interface and virtual reality technology",2012,"International Journal of Advanced Robotic Systems","9",, 143,"","",,4,10.5772/52457,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868019558&doi=10.5772%2f52457&partnerID=40&md5=9227f4ab31addfbb8bd261e4a1f90842","In this paper a control system of a gait rehabilitation training robot based on Brain-Computer Interface (BCI) and virtual reality technology is proposed, which makes the patients' rehabilitation training process more interesting. A technique for measuring the mental states of the human and associated applications based on normal brain signals are examined and evaluated firstly. Secondly, the virtual game starts with the information from the BCI and then it runs in the form of a thread, with the singleton design pattern as the main mode. Thirdly, through the synergistic cooperation with the main software, the virtual game can achieve quick and effective access to blood oxygen, heart rate and other physiological information of the patients. At the same time, by means of the hardware control system, the start-up of the gait rehabilitation training robot could be controlled accurately and effectively. Therefore, the plantar pressure information and the velocity information, together with the physiological information of the patients, would be properly reflected in the game lastly and the physical condition of the patients participating in rehabilitation training would also be reflected to a great extent. © 2012 Wang et al.",,"English",Article,Scopus,2-s2.0-84868019558
"Devereaux J., Pack M., Piccott V., Whitten K., Basset F., Rohr L.E.","Comparison of rates of perceived exertion between active video games and traditional exercise",2012,"International SportMed Journal","13","3",,"133","140",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867624933&partnerID=40&md5=65acc6eef2c5af0865b2b4c2deacf1d5","Background: Research regarding the Nintendo Wii™ has focused on rehabilitation and balance benefits as well as energy expenditure for games such as boxing and tennis. There is a gap, however, in the literature regarding perceived exertion of the Wii™ compared to other modes of exercise. Research question: The purpose of this laboratory-based study was to compare perceived exertion on the Nintendo Wii™ and two traditional modes of exercise: the treadmill and cycle ergometer. It was expected that the Wii™ would show lower ratings of perceived exertion (RPE) values. Type of study: A repeated measures design was used. Methods: Five healthy males (average age = 21.4 years) and seven females (average age = 22.1 years) completed three 20 minute exercise sessions in random order, one each using the cycle ergometer, the treadmill and the Nintendo Wii Fit Plus™. Exercise intensity was fixed at 65% (± 5 bpm) of each participant's age predicted maximum heart rate. Ratings of perceived exertion and HR were measured every minute. Additionally overall RPE was collected at the end of each trial. Results: Repeated measures analysis of variance confirmed that although exercise intensity was consistent across the three exercise methods, overall RPE was lowest for the Nintendo Wii™ (9.50) followed by the treadmill (9.92) and finally the cycle ergometer (11.08), F (1,11) = 10.17, p&lt;0.01. Conclusions: When compared to certain traditional exercise modalities the Nintendo Wii Fit Plus™ was perceived to require less effort. Therefore, usina the Nintendo Wii Fit Plus™ is likely to result in hiaher exercise adherence rates.",,"English",Article,Scopus,2-s2.0-84867624933
"Ibragimov B., Likar B., Pernuš F., Vrtovec T.","A game-theoretic framework for landmark-based image segmentation",2012,"IEEE Transactions on Medical Imaging","31","9", 6213121,"1761","1776",,31,10.1109/TMI.2012.2202915,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867496657&doi=10.1109%2fTMI.2012.2202915&partnerID=40&md5=fcebad995216320c7d4f58814eb8e1d8","A novel game-theoretic framework for landmark- based image segmentation is presented. Landmark detection is formulated as a game, in which landmarks are players, landmark candidate points are strategies, and likelihoods that candidate points represent landmarks are payoffs, determined according to the similarity of image intensities and spatial relationships between the candidate points in the target image and their corresponding landmarks in images from the training set. The solution of the formulated game-theoretic problem is the equilibrium of candidate points that represent landmarks in the target image and is obtained by a novel iterative scheme that solves the segmentation problem in polynomial time. The object boundaries are finally extracted by applying dynamic programming to the optimal path searching problem between the obtained adjacent landmarks. The performance of the proposed framework was evaluated for segmentation of lung fields from chest radiographs and heart ventricles from cardiac magnetic resonance cross sections. The comparison to other landmark-based segmentation techniques shows that the results obtained by the proposed game-theoretic framework are highly accurate and precise in terms of mean boundary distance and area overlap. Moreover, the framework overcomes several shortcomings of the existing techniques, such as sensitivity to initialization and convergence to local optima. © 2012 IEEE.",22692901,"English",Article,Scopus,2-s2.0-84867496657
"Karouzaki E., Savidis A.","A framework for adaptive game presenters with emotions and social comments",2012,"International Journal of Computer Games Technology",,, 929814,"","",,4,10.1155/2012/929814,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867116849&doi=10.1155%2f2012%2f929814&partnerID=40&md5=d3856cce42e409d96b3f2ed9d6f88eaf","More and more games today try to adjust their gameplay to fit individual players; however, little work has been carried out in the same direction towards game presenter characters. Game commentary should take into account players' personalities along with game progress in order to achieve social player-adapted comment delivery that boosts the overall gameplay, engages the players, and stimulates the audience. In our work, we discuss a framework for implementing artificial game presenter characters that are based on game actions and players' social profiles in order to deliver knowledgeable, socially oriented comments. Moreover, the presented framework supports emotional facial expressions for the presenters, allowing them to convey their emotions and thus be more expressive than the majority of the commentary systems today. We prove our concept by developing a presenter character for multiplayer tabletop board games which we further put under usability evaluation with 9 players. The results showed that game sessions with presenter characters are preferred over the plain version of the game and that the majority of the players enjoy personalized social-oriented comments expressed via multimedia and emotions. © 2012 Effie Karouzaki and Anthony Savidis.",,"English",Article,Scopus,2-s2.0-84867116849
"Baer S., Saran K., Green D.A.","Computer/gaming station use in youth: Correlations among use, addiction and functional impairment",2012,"Paediatrics and Child Health (Canada)","17","8",,"427","431",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867198398&partnerID=40&md5=b7c05069dca36cf46420b9d9b84fbc5a","Objective: Computer/gaming station use is ubiquitous in the lives of youth today. Overuse is a concern, but it remains unclear whether problems arise from addictive patterns of use or simply excessive time spent on use. The goal of the present study was to evaluate computer/gaming station use in youth and to examine the relationship between amounts of use, addictive features of use and functional impairment. Method: A total of 110 subjects (11 to 17 years of age) from local schools participated. Time spent on television, video gaming and nongaming recreational computer activities was measured. Addictive features of computer/gaming station use were ascertained, along with emotional/behavioural functioning. Multiple linear regressions were used to understand how youth functioning varied with time of use and addictive features of use. Results: Mean (± SD) total screen time was 4.5±2.4 h/day. Addictive features of use were consistently correlated with functional impairment across multiple measures and informants, whereas time of use, after controlling for addiction, was not. Conclusions: Youth are spending many hours each day in front of screens. In the absence of addictive features of computer/gaming station use, time spent is not correlated with problems; however, youth with addictive features of use show evidence of poor emotional/behavioural functioning. ©2012 Pulsus Group Inc. All rights reserved.",,"English",Article,Scopus,2-s2.0-84867198398
"Shin M., Heard R., Suo C., Chow C.M.","Positive Emotions Associated with ""counter-Strike"" Game Playing",2012,"Games for Health Journal","1","5",,"342","347",,1,10.1089/g4h.2012.0010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992730960&doi=10.1089%2fg4h.2012.0010&partnerID=40&md5=485741cd2c3cb85180273e5fc054d1b8","Objective: Digital game playing engages people for long periods of time. The pleasure offered by digital games may explain the players' consumption of this activity. Games may elicit both positive and negative emotions, which can be measured by encephalography (EEG). The EEG alpha asymmetry index (AI) is different in positive and negative emotions and so may be used to distinguish positive from negative emotions that occur during gaming. We hypothesized that the ""Counter-Strike"" (CS) game (Valve Software, Bellevue, WA) is pleasurable and demonstrable with a positive EEG AI. Subjects and Methods: Twelve male participants ages 18-30 years underwent EEG recordings continuously during and postgame. EEG was also recorded pregame for control conditions of baseline (sitting on a chair staring at a blank wall), movement (moving fingers on the computer keyboard with a blank screen), sound (listening to the sound of the CS game with a blank screen), and screen (watching the CS game without playing). Self-ratings of emotional responses were completed at pre-, during, and postgame. Results: A significant decrease in the EEG AI was observed under the screen condition compared with baseline, whereas an increase was observed postgame compared with the screen condition. The participants demonstrated a positive EEG AI following the ""shoot"" events (shoot opponents) and negative emotions after the ""being shot"" events. Subjective ratings of emotional response indicated happiness during and postgame, but anger and arousal were reported only during the game. Conclusions: The overall results are consistent with the hypothesis that predominantly positive emotional reactions are elicited from playing the CS game and concur with positive subjective ratings of happiness. Future studies may explore the relationship of game pleasure and obsessive game play. © 2012 Copyright Mary Ann Liebert, Inc.",,"English",Article,Scopus,2-s2.0-84992730960
"Acampora G., Loia V., Vitiello A.","Improving game bot behaviours through timed emotional intelligence",2012,"Knowledge-Based Systems","34",,,"97","113",,8,10.1016/j.knosys.2012.04.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865606942&doi=10.1016%2fj.knosys.2012.04.012&partnerID=40&md5=dafa8368ee0b127375b96b4b7fd7d3ee","The video game industry is a very active economic sector focusing on the design and development of entertainment applications. In this sector, different enterprises compete to design innovative video games that exploit physical and emotional capabilities of video gamers in order to achieve high levels of realism. From this point of view, video games research should be enhanced by introducing: (1) novel methodologies for modeling emotions that depict the behaviour of different characters populating a virtual environment, and (2) some abstraction technologies useful to ""move"" this emotional intelligence on different game platforms without additional efforts. In this paper, innovative computational intelligence techniques, like the Timed Automata based Fuzzy Controllers, have been hybridized with emotional representation methodologies in order to provide game bots with human-like capabilities and, as a consequence, improve the realism of game under design. In order to allow different competitors to exploit our ""emotional engine"" on different hardware platforms, the Fuzzy Markup Language (FML) has been chosen to be the main technology for designing and implementing the bots behaviour. As shown in a case study based on Unreal Tournament 2004, the game bots exploiting our approach provide a more human-likeness behaviour if compared with simple finite state automaton based bots. © 2012 Elsevier B.V. All rights reserved.",,"English",Article,Scopus,2-s2.0-84865606942
"Klusemann M.J., Pyne D.B., Foster C., Drinkwater E.J.","Optimising technical skills and physical loading in small-sided basketball games",2012,"Journal of Sports Sciences","30","14",,"1463","1471",,29,10.1080/02640414.2012.712714,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867530240&doi=10.1080%2f02640414.2012.712714&partnerID=40&md5=188d621e483c052efd6e6c5da45ceb9a","Differences in physiological, physical, and technical demands of small-sided basketball games related to the number of players, court size, and work-to-rest ratios are not well characterised. A controlled trial was conducted to compare the influence of number of players (2v2/4v4), court size (half/full court) and work-to-rest ratios (4x2.5 min/2x5 min) on the demands of small-sided games. Sixteen elite male and female junior players (aged 15-19 years) completed eight variations of a small-sided game in randomised order over a six-week period. Heart rate responses and rating of perceived exertion (RPE) were measured to assess the physiological load. Movement patterns and technical elements were assessed by video analysis. There were ~60% more technical elements in 2v2 and ~20% more in half court games. Heart rate (86 ± 4% & 83 ± 5% of maximum; mean ± SD) and RPE (8 ± 2 & 6 ± 2; scale 1-10) were moderately higher in 2v2 than 4v4 small-sided games, respectively. The 2v2 format elicited substantially more sprints (36 ±12%; mean ±90% confidence limits) and high intensity shuffling (75 ±17%) than 4v4. Full court games required substantially more jogging (9 ±6%) compared to half court games. Fewer players in small-sided basketball games substantially increases the technical, physiological and physical demands. © 2012 Copyright Taylor and Francis Group, LLC.",22928779,"English",Article,Scopus,2-s2.0-84867530240
"Smith S.A., Abraham W.T.","Implantable cardiovascular sensors and computers: Interventional heart failure strategies",2012,"Current Cardiology Reports","14","5",,"611","618",,3,10.1007/s11886-012-0294-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870584979&doi=10.1007%2fs11886-012-0294-6&partnerID=40&md5=1bfb9071f4fd1abe3e103671312caf85","Despite evidence-basedmedical and pharmacologic advances themanagement of heart failure remains challenging, whether in the ambulatory setting where daily weight monitoring has failed, or in the inpatient setting where readmission rates and morbidity remains high. There is an urgent need to develop strategies to reduce hospitalizations and readmission rates for heart failure in general. There may be a shift in the paradigm with respect to the treatment of heart failure, which may usher in an era of invasive heart failure therapies and specialists. Experimental invasive devices and monitors have the potential to be game-changing therapies, and cardiac resynchronization therapy has evolved beyond just resynchronization and has the potential to provide important real-time hemodynamic feedback. © 2012 Springer Science+Business Media, LLC.",22814631,"English",Article,Scopus,2-s2.0-84870584979
"de Waal-Andrews W., van Beest I.","When You Don't Quite Get What You Want: Psychological and Interpersonal Consequences of Claiming Inclusion",2012,"Personality and Social Psychology Bulletin","38","10",,"1367","1377",,8,10.1177/0146167212450463,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866453378&doi=10.1177%2f0146167212450463&partnerID=40&md5=baf932b98309f47bc115ca9e93d23210","People's success or failure to gain inclusion in groups may result from their own actions or the actions of others. Two studies compared the personal and interpersonal consequences of inclusion and exclusion when they resulted from these two processes. People's own failure to ""claim"" inclusion in a computerized ballgame was equally detrimental for fundamental needs and made people equally unlikely to behave prosocially to group members, as being denied inclusion by others. In contrast, the beneficial effects of inclusion depended on the process with which it was obtained, and meta-perceptions of warmth mediated these differences; people who succeeded to claim inclusion thought their interaction partners liked them less than people who were granted inclusion, and as a result, their fundamental needs were satisfied less, and they behaved less prosocially. © 2012 by the Society for Personality and Social Psychology, Inc.",22700244,"English",Article,Scopus,2-s2.0-84866453378
"Chan T.C., Chan F., Shea Y.F., Lin O.Y., Luk J.K.H., Chan F.H.W.","Interactive virtual reality Wii in geriatric day hospital: A study to assess its feasibility, acceptability and efficacy",2012,"Geriatrics and Gerontology International","12","4",,"714","721",,10,10.1111/j.1447-0594.2012.00848.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866744855&doi=10.1111%2fj.1447-0594.2012.00848.x&partnerID=40&md5=7b13e6adb9f9924194cf9cf50669fbcf","Aim: Rehabilitation using interactive virtual reality Wii (Wii-IVR) was shown to be feasible in patients with different medical problems, but there was no study examining its use in a geriatric day hospital (GDH). The aim of the present study was to test the feasibility, acceptability and efficacy of Wii-IVR in GDH. Methods: It was a clinical trial with matched historic controls. Patients of a GDH were recruited to participate in Wii-IVR by playing ""Wii Fit"". Participants used a Wii controller to carry out movements involved in an arm ergometer. Each participant received eight sessions of Wii-IVR in addition to conventional GDH rehabilitation. Feasibility was assessed by the total time receiving Wii-IVR, the percentage of maximal heart rate reserve (%MHR) and Borg perceived exertion scale (BS) after participating in Wii-IVR. %MHR and BS were compared with those after carrying out an arm ergometer for the same duration. Acceptability was assessed by an interviewer-administered questionnaire. Efficacy was assessed by comparing improvements in Functional Independence Measure (FIM) between participants and matched historic controls, who received conventional GDH rehabilitations only. Results: A total of 30 patients completed the study. Participants completed a total of 1941min of event-free Wii-IVR. The mean %MHR was 15.9%±9.9% and the mean BS was 7.9±2.3. There was no significant difference in %MHR and BS between participating in Wii-IVR and arm ergometer. Most participants found Wii-IVR similar to the arm ergometer, and would like to continue Wii-IVR if they had Wii at home. Improvements in FIM of participants were significantly more than that of historic controls. Conclusions: Wii-IVR in GDH was feasible and most participants accepted it. Participants had more improvements in FIM. © 2012 Japan Geriatrics Society.",22469232,"English",Article,Scopus,2-s2.0-84866744855
"Cui G., Lui H.-K., Guo X.","The effect of online consumer reviews on new product sales",2012,"International Journal of Electronic Commerce","17","1",,"39","57",,113,10.2753/JEC1086-4415170102,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866726897&doi=10.2753%2fJEC1086-4415170102&partnerID=40&md5=d92d49a3ffea6fdbc0b4e5cf79bf1042","This study examines the effect of online reviews on new product sales for consumer electronics and video games. Analyses of panel data of 332 new products from Amazon.com over nine months reveal that the valence of reviews and the volume of page views have a stronger effect on search products, whereas the volume of reviews is more important for experience products. The results also show that the volume of reviews has a significant effect on new product sales in the early period and such effect decreases over time. Moreover, the percentage of negative reviews has a greater effect than that of positive reviews, confirming the negativity bias. Thus, marketers need to consider the distinctive influences of various aspects of online reviews when launching new products and devising e-marketing strategies. Copyright © 2012 M.E. Sharpe, Inc. All rights reserved.",,"English",Article,Scopus,2-s2.0-84866726897
"Arinbjarnar M., Kudenko D.","Actor bots",2012,"Believable Bots: Can Computers Play Like People?","9783642323232",,,"69","97",,,10.1007/978-3-642-32323-2_3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949175838&doi=10.1007%2f978-3-642-32323-2_3&partnerID=40&md5=8b9badc4e41911f91f84052747dbfc49","In many recent computer games there has been an increased use of Non-Player Characters as quest givers, tradesmen, members of the general public and as quest companions for the players. All these roles call for intelligent bots that can give the player an engaging experience by adjusting and adapting to the players' style of play. They need to behave as actors in a virtual improvisational theatre. They need to perform in a manner that the player finds believable and engaging so that the player becomes sufficiently immersed in the interactive drama and keeps coming back for more. The bot's intelligence needs to be both robust to respond to player actions and sufficiently complex to handle character traits, emotions and complex decision making that resembles that of a human player. A balance needs to be maintained between the bots' believability and their entertainment value for the player, as these two goals may be at odds in some situations. © 2012 Springer-Verlag Berlin Heidelberg. All rights are reserved.",,"English",Book Chapter,Scopus,2-s2.0-84949175838
"Arrabales R., Muñoz J., Ledezma A., Gutierrez G., Sanchis A.","A machine consciousness approach to the design of human-like bots",2012,"Believable Bots: Can Computers Play Like People?","9783642323232",,,"171","191",,6,10.1007/978-3-642-32323-2_7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949179596&doi=10.1007%2f978-3-642-32323-2_7&partnerID=40&md5=f4c5641d8e83eef0b850963b48af80e9","This chapter introduces Machine Consciousness as a new research field applied to the development of human-like behaviour of non-player characters (NPCs) in video games. Key aspects, advantages, and challenges of this young research area are discussed using the cognitive architecture CERA-CRANIUM as an illustrative example of an autonomous control system inspired by cognitive theories of human consciousness. Additionally, other cognitive architectures used in video games are also analyzed. The bot codenamed CC-Bot2, winner of the 2K BotPrize 2010 competition and based on the CERA-CRANIUM cognitive architecture, is also described in this chapter. Specifically, the particular way in which CC-Bot2 processes the sensory-motor information and generates sequences of adaptive human-like actions is discussed. We also analyze the main differences between CC-Bot2 and other bots, focusing on the key features that allowed CC-Bot2 to win first place in the competition. Finally, we conclude by describing the main lines of work for future CC-Bot implementations and pointing out major conclusions about the application of Machine Consciousness to the design of believable bots. © 2012 Springer-Verlag Berlin Heidelberg. All rights are reserved.",,"English",Book Chapter,Scopus,2-s2.0-84949179596
